ID,Location,Specific Location,Amenities,Bedroom,Bathroom,Toilet,New,Duplex,Lux,Estate,rank,Price
746,lekki,off admiralty way lekki phase 1 lekki lagos,9,5,4,5,1,1,1,1,9,5500000
747,lekki,orchid road oral estate lekki lagos,9,5,4,5,1,1,1,1,9,5000000
748,lekki,ilasan lekki lagos,5,3,2,3,0,0,0,0,7,1500000
749,lekki,"  chevyview estate, chevron lekki lagos",7,4,3,4,0,0,0,0,7,2000000
750,lekki,ikota lekki lagos,9,5,4,5,0,0,0,1,9,3500000
751,lekki,off admiralty way lekki phase 1 lekki lagos,3,2,1,2,0,0,0,1,6,1500000
752,lekki,"  eleganza garden, opposite vgc vgc lekki lagos",7,3,4,3,1,1,0,1,7,2500000
753,lekki,osapa london lekki lagos,5,3,2,3,1,1,0,1,7,2500000
754,lekki,"  eleganza gardens, vgc lekki lagos",3,2,1,2,0,0,0,0,6,1100000
755,lekki,"  cromwell estate, chevron lekki lagos",7,4,3,4,0,0,0,1,7,2800000
756,lekki,behind prime water gardens ikate lekki lagos,7,4,3,4,0,0,0,0,7,2200000
757,lekki,"updc estate, lekki phase 1 lekki lagos",7,4,3,4,1,1,1,1,7,4300000
758,lekki,mega chicken ikota lekki lagos,9,5,4,5,0,0,0,1,9,3500000
759,lekki,bridge gate estate agungi lekki lagos,9,5,4,5,0,0,0,1,9,3500000
760,lekki,orchid road chevron lekki lagos,9,5,4,5,0,0,0,1,9,3500000
761,lekki,idado lekki lagos,11,6,5,6,0,0,0,0,10,4700000
762,lekki,ologolo lekki lagos,5,3,2,3,0,0,0,1,7,2000000
763,lekki,lekki right side lekki phase 1 lekki lagos,7,4,3,4,1,0,0,1,7,3200000
764,lekki,pinnock beach estate osapa london lekki lagos,12,6,6,6,1,1,0,1,10,6200000
765,lekki,romay garden estate ilasan lekki lagos,9,5,4,5,0,0,0,1,9,3500000
766,lekki,megamound estate ikota lekki lagos,9,5,4,5,0,0,0,1,9,3500000
767,lekki,"  safe court apartments, ikate lekki lagos",7,4,3,4,1,1,1,1,7,3500000
768,lekki,"  bourdillon court, chevron lekki lagos",7,4,3,4,1,0,0,1,7,3000000
